generated,actual
airport,Two planes parked next to boarding bridges and another passing plane beside .
image,A small plane and a big plane parked on the airport and the lawn beside .
b 25 bombers,Three camouflage planes parked on the open area and the lawn with some trees beside .
image,Three tail-to-tail planes parked on the open area and a clearing beside .
the plane is in the middle of the,A plane parked between two buildings on the open area .
airport,Some planes parked next to two ring terminals and the other two is on the runway .
image,Three planes parked on the airport .
airport,Three planes parked next to boarding bridges of the striped terminal while some white facilities around planes .
image,A plane parked on the airport and the lawn in front of it .
c 130j hercules,A plane parked on the lawn and sone cars behind it .
airport,Three planes parked next to boarding bridges .
airport,Some planes parked on the airport and two of them are face-to-face .
satellite image,A plane parked on the open area and some trees beside .
airport,Two adjacent planes parked next to boarding bridges of the purple striped terminal .
airport,A yellow plane parked on the airport and parking lots with many cars beside .
airport,Some planes parked in different directions on the open area while some buildings arranged neatly beside .
-----0-----,-----0-----
Three planes are parked on the airport and the planes are on the runway .,Two planes parked next to boarding bridges and another passing plane beside .
Two planes parked on the airport and the parking lot .,A small plane and a big plane parked on the airport and the lawn beside .
The airport is surrounded by some green trees and some planes are parked on the runway .,Three camouflage planes parked on the open area and the lawn with some trees beside .
Three planes are parked on the airport .,Three tail-to-tail planes parked on the open area and a clearing beside .
The plane is parked on the airport and the plane is on the runway .,A plane parked between two buildings on the open area .
The airport is built on the airport and some planes are parked on the airport .,Some planes parked next to two ring terminals and the other two is on the runway .
Two planes are parked on the airport and the airport is covered with some yellow dots .,Three planes parked on the airport .
The airport terminal with some planes parked on the terminal and some planes parked on the runway .,Three planes parked next to boarding bridges of the striped terminal while some white facilities around planes .
The plane is parked on the airport and the parking lot is empty .,A plane parked on the airport and the lawn in front of it .
The plane is parked on the lawn and the lawn is green .,A plane parked on the lawn and sone cars behind it .
The airport terminal is built on the concrete floor and the planes parked on the terminal .,Three planes parked next to boarding bridges .
The airport is in the middle of the runway and some planes are parked on the runway .,Some planes parked on the airport and two of them are face-to-face .
The airport is surrounded by some buildings and some trees .,A plane parked on the open area and some trees beside .
The airport terminal is built on the gray concrete and the airport is on the terminal .,Two adjacent planes parked next to boarding bridges of the purple striped terminal .
The yellow plane is parked on the parking lot and the parking lot is surrounded by some buildings and some cars .,A yellow plane parked on the airport and parking lots with many cars beside .
The airport is on the lawn and some planes are parked on the lawn .,Some planes parked in different directions on the open area while some buildings arranged neatly beside .
The airport terminal is on the airport and the airport terminal is connected with the airport terminal by a road .,A blue plane parked next to a boarding bridge and two buildings beside .
Two planes are parked on the runway and the other plane is on the runway .,Three planes parked on the airport while some buildings and cars beside .
The airport is on the runway and the runway is surrounded by some buildings and some planes .,Two planes parked on the airport while some buildings beside .
The airport is on the parking lot and some planes are parked on the parking lot .,Some planes parked in three lines on the airport .
The planes are parked on the runway and the runway is divided into two parts by the yellow line .,Five planes parked in two lines on the runway .
Two white planes are parked on the airport .,Two planes parked on the open area .
Three planes are parked on the runway .,Three planes parked on the airport paved with asphalt .
The airport is on the runway and some planes are parked on the runway .,A plane with the red mark and three planes parked next to boarding bridges of the striped terminal .
Two planes are parked on the airport .,A plane with the red mark and a white plane parked between no-stop areas marked by red slashes .
The airport is surrounded by some planes and some cars .,Four planes parked next to boarding bridges and two planes on the runway .
Two planes parked on the airport and some cars parked on the airport .,A white plane and a purple plane parked next to a boarding bridge while some facilities around planes .
Three planes are parked on the airport and the planes are on the runway .,A small plane and two big planes parked on the airport and some clearings beside .
Two white planes are parked on the airport .,Two planes parked one after another on the airport .
Three planes parked on the airport .,Three face-to-face planes parked on the airport .
The airport is on the airport and the airport is surrounded by some green trees .,A plane parked next to a boarding bridge and the forest beside .
Two planes parked on the airport and the runway is in the middle of the airport .,A plane parked on the airport and another passing plane on the runway beside .
The white and blue private planes are parked in a row on the airport .,Eight planes parked in two lines on the airport and one of planes with blue wings .
The airport terminal is surrounded by some buildings and the airport terminal is parked on the airport .,A plane with the red mark parked next to a twisted boarding bridge of the striped terminal .
Two planes are parked on the airport and the runway is in the middle of the airport .,Two gray planes parked on the airport and the lawn beside .
The airport is surrounded by some planes and some cars .,Five planes parked in two lines on the airport with semi-circular yellow marks .
The airport is on the runway and the runway is divided into two parts by the runway .,A gray plane and two yellow planes parked on the airports and the lawn between airports .
The airport is surrounded by some buildings and some planes parked on the runway .,Some white planes and yellow planes parked in different directions on the open area and a white buildings in front of planes .
