generated,actual
aerial view of the site,A dense residential area with lots of houses arranged neatly is surrounded by some roads .
satellite image,Some green chaparrals of different sizes grow in the desert .
aerial view of the runway,green grass on both sides of the runway .
the railway station,The railway station has lots of railways and some buildings and the railway station is surrounded by lots of houses and trees .
image of the day,A large piece of sea ice and a lot of small pieces of sea ice float in the deep blue sea .
concrete,the grey green land has many gullies .
a. satellite image b. satellite image,Two basketball courts on the lawn and some trees beside .
lake,The lake lies in the dense forest and the water is dark blue .
satellite image,There is a straight path through this wetland .
a. a large rectangular green area with a grey border,there is rectangular pond with a regular bank made of pebbles .
wave,the waves crash up on the beach .
image,Some disconnected green chaparrals grow on the wasteland .
satellite image,The snowberg is partly covered with snow and ice and partly covered with vegetation .
image,the large land is a vast desert .
the railway line,These railways go through the green area .
image of the day,a line of black hummock can be seen on the desert .
-----0-----,-----0-----
a. a residential street with a few houses .,A dense residential area with lots of houses arranged neatly is surrounded by some roads .
the image shows a desert landscape with a few trees .,Some green chaparrals of different sizes grow in the desert .
the runway is marked by the white lines and the taxiway is marked by the white lines .,green grass on both sides of the runway .
the railway station is located in the north of the city .,The railway station has lots of railways and some buildings and the railway station is surrounded by lots of houses and trees .
the ice is dark because it is,A large piece of sea ice and a lot of small pieces of sea ice float in the deep blue sea .
a. brown and gray b. brown and white c. brown and black d. white and black,the grey green land has many gullies .
a. satellite image of a basketball court b. satellite image of a basketball court,Two basketball courts on the lawn and some trees beside .
the lake is located in the middle of the image .,The lake lies in the dense forest and the water is dark blue .
a. a forest b. a river c. a lake,There is a straight path through this wetland .
a. a rectangular green field with a grey border and a few trees in the background,there is rectangular pond with a regular bank made of pebbles .
wave,the waves crash up on the beach .
a. a forest b. a forest with a lot of trees c. a forest with a lot of trees and some shrubs,Some disconnected green chaparrals grow on the wasteland .
snow,The snowberg is partly covered with snow and ice and partly covered with vegetation .
the desert,the large land is a vast desert .
a. a railway track b. a railway track,These railways go through the green area .
the desert,a line of black hummock can be seen on the desert .
a. a field of crops b. a field of crops,Lots of dense rectangular farmlands of different colors are arranged in neat rows .
a. the same as the previous image but zoomed in on the top of the image .,The mobile home park has some neatly arranged mobile homes .
a. a highway with a car on it .,Two straight freeways parrallel forward .
a. a large cloud of smoke over a city .,The cumulus clouds are located above the city .
the mountains are in the north and west .,The snowberg is covered with snow and ice in the top and partly covered with vegetation .
beach,This is a beach with blue-green sea and white sands .
a. a stadium surrounded by a park b. a stadium surrounded by a park,The ground track field is surrounded by a grove of trees and some houses arranged neatly are next to the ground track field .
glacier,The snowberg is covered with snow and ice in the top and the color of the mountain is brown .
a. a highway interchange b. a highway interchange,"a river, some buildings and many green trees are near a viaduct ."
a. a large farm with a lot of crops b. a large farm with a lot of crops c. a large farm with a lot of crops,Several circular farmlands with different colors are on the wasteland and some roads go through the wasteland .
a. the trees are very close to each other b. the trees are far apart c. the trees are far apart and far apart,The forest has some sparse green trees randomly arranged and the forest soil is deep yellow .
a. a large group of boats b. a large group of people c. a large group of animals d. a large group of people,The harbor has lots of neatly docked boats and a parking lot is next to the harbor .
Lake Nyasa,A big lake and some small lakes with winding banks lie in a mountainous area and the water is green .
the lake is located in the town of,The lake is surrounded by some farmland and residential areas and the water is deep green .
a. a field with a small hill in the middle b. a field with a small hill in the middle,there is a piece of bare ground at the t junction of two unpaved paths on the meadow .
neighborhood,A baseball diamond surrounded by some trees and the medium residential area beside .
a. a field of crops b. a field of crops,There is a row of grey houses beside the terraces .
the building is located in the center of the image .,A commercial area with some buildings of different heights is surrounded by some roads .
a. the land is covered in snow and ice. b. the land is covered in grass and trees. c. the land is covered in grass and rocks. d. the land is covered in grass and rocks.,The snowberg is partly covered with snow and ice and the color of the mountain is brown .
a. a satellite image of a desert b. a satellite image of a desert c. a satellite image of a desert,There are no crops on the terraces in the picture .
the airport is located in the city of,An airport with a runway on the lawn and dense residential areas around the airport .
aerial view of a residential area with several buildings and a parking lot .,This is a dense residential area with some houses .
a. a highway interchange b. a highway interchange,many overpasses have been built in this area .
the building is located in the center of the image .,A commercial area has lots of buildings of different heights and shapes and a grove of trees is also in the commercial area .
the stadium is located in the city of,This stadium is a baseball field .
a. the city of la is located in the center of the image.,next to the road is a large industrial area .
river,the turbid river is across the grassland with shrubs .
the island of jersey,The island has rugged terrain and dense vegetation and the waters around the island is light blue .
stadium,there is a playground near the building .
a. baseball field b. soccer field c. football field d. basketball court,Some baseball diamonds of different sizes next to some parking lots and some buildings beside .
rocks and waves,The type of beach is rocky coast and some eroded stones are on the beach .
a. a large industrial plant with silos and a train passing through the area .,there are some big gray columnar tanks linking to each other by pipes
a.,Several large pieces of sea ice and a lot of small pieces of sea ice gather together .
a. satellite image of a city b. satellite image of a city,The railway station has some railways and buildings of different colors .
a. two large ponds b two small ponds c a small pond and a large pond,the rectangular pond close to the trapezoidal pond is next to a building with a parking lot surrounded by trees .
the bridge is a major engineering feat .,the suspension bridge is across the stretch of arc shaped river .
the building is a green octagonal building with a green roof .,a polygonal blue green building with pyramidal roof is located among streets other square buildings and parking lots
this is a satellite image of a train station .,the huge rectangular station platform close the station with a silver ceiling is over the arc shaped rails
the tree is in the middle of the fairway .,This is a part of a golf course with green turfs and some bunkers .
a. satellite image of a power plant b. satellite image of a power plant,There are rows of blue or red buildings on one side of the two thermal power stations .
a. the baseball field is in the middle of the neighborhood .,A baseball diamond next to a parking lot and the residential area beside .
the airport,many white planes are parked at the airport .
boats,Lots of boats docked at the harbor and the water is deep blue .
a. a large building with many windows b. a large building with many windows c. a large building with many windows d. a large building with many windows,The industrial area with some neatly arranged blue workshops and red workshops is surrounded by roads .
the dome of the church of the holy cross .,The church with a green circular tower is surrounded by other buildings .
the airport is located in the city of,A plane parked next to a boarding bridge of the rectangular terminal and the lawn in the other side of the terminal .
the trees are in the foreground and the desert is in the background .,Some disconnected chaparrals grow in the desert .
the image shows a dark green background with white and grey spots .,A large piece of sea ice and a lot of small pieces of sea ice float in the dark green sea .
the north korean military is building a secret nuclear missile site,the long river flows through the vast land .
the lake is located in the northern part of the,The lake lies in a mountainous area and the water is dark blue .
parking,The parking lot has some parked cars and trees .
a. sand dunes b. sand dunes with a small hill on top c. sand dunes with a small hill on top d. sand dunes with a small hill on top e. sand dunes with a small hill on top f. sand dunes with a small hill on top g. sand dunes with a small hill on top h. sand dunes with a small hill on top i. sand dunes with a small hill on top j. sand dunes with a small hill on top k. sand dunes with a small hill on top l. sand dunes with a small hill on top m. sand dunes with a small hill on top n. sand dunes with a small hill on top o. sand dunes with a small hill on top p. sand dunes with a small hill on top q. sand dunes with a small hill on top r. sand dunes with a small hill on top s. sand dunes with a small hill on top t. sand dunes with a small hill on top u. sand dunes with a small hill on top v. sand dunes with a small hill on top w. sand dunes with a small hill on top x. sand dunes with a small hill on top y. sand dunes with a small hill on top z. sand dunes with a small hill on top aa,The desert has yellow sand and some small hills .
this is a city street with mobile homes on it .,The sparse mobile home park has some mobile homes on the grass and two lakes are also in the mobile home park .
a. a small town b. a city c. a neighborhood d. a suburb,The medium residential area has some houses and bare trees and some roads go through the medium residential area .
