image,split,caption
RSICD_0.jpg,train,many planes are parked next to a long building in an airport .
RSICD_2.jpg,train,many planes are parked in an airport near many runways .
RSICD_3.jpg,train,many planes are parked near a large building on an airport .
RSICD_4.jpg,train,several buildings and green trees are around a piece of bare land.
RSICD_5.jpg,train,some green trees are near a large piece of bare land.
RSICD_6.jpg,train,many planes are parked between several buildings and many runways .
RSICD_7.jpg,train,many planes and buildings are in an airport .
RSICD_8.jpg,train,is a airport in the middle and many planes in it .
RSICD_9.jpg,train,many planes are parked near several buildings in an airport .
RSICD_10.jpg,train,many planes are near a large building in an airport .
RSICD_11.jpg,train,some planes are near a large building in an airport .
RSICD_12.jpg,train,some planes are parked near several buildings in an airport .
RSICD_14.jpg,train,some planes are near a large building in an airport .
RSICD_15.jpg,train,many buildings are around some planes in an airport .
RSICD_16.jpg,train,some planes are parked near an airport runway .
RSICD_17.jpg,train,many planes are parked in an airport near several runways .
RSICD_18.jpg,train,some planes are parked near near some buildings and green trees .
RSICD_19.jpg,train,many planes are parked in an airport near several runways .
RSICD_20.jpg,train,many planes are parked in an airport near a large parking lot .
RSICD_22.jpg,train,a airport in side while with some square meadow besides .
RSICD_23.jpg,train,four planes are parked in an airport near several buildings with parking lots .
RSICD_24.jpg,train,some planes are parked in an airport near a piece of green trees .
RSICD_25.jpg,train,a airport with dark brown and light brown ground in it .
RSICD_26.jpg,train,many planes are parked in an airport near a river .
RSICD_27.jpg,train,many planes are parked between bare land and buildings.
RSICD_28.jpg,train,many planes are parked in an airport near some storage tanks .
RSICD_29.jpg,train,many planes are parked in an airport surrounded by green trees .
RSICD_30.jpg,train,some planes are parked in an airport near runway .
RSICD_31.jpg,train,a airport in the middle while with some sparse plants in it .
RSICD_32.jpg,train,many planes are parked in an airport near several runways and some green trees .
RSICD_33.jpg,train,many planes are parked between two runways .
RSICD_34.jpg,train,some planes are near a large building in an airport .
RSICD_35.jpg,train,many planes are parked in an airport near an ocean .
RSICD_36.jpg,train,an airport is near several farmlands and some buildings .
RSICD_37.jpg,train,some planes are parked in an airport surrounded by green meadows and some trees .
RSICD_38.jpg,train,several planes are parked in an airport near many green trees .
RSICD_39.jpg,train,some planes are in an airport near green meadows .
RSICD_40.jpg,train,many planes are in an airport .
RSICD_41.jpg,train,many planes are in an airport near some green trees .
RSICD_42.jpg,train,some planes are parked in an airport surrounded by green meadows and some trees .
RSICD_43.jpg,train,some planes are in an airport surrounded by many green trees .
RSICD_44.jpg,train,some planes are in an airport near some green plants and buildings .
RSICD_45.jpg,train,five planes are in an airport .
RSICD_46.jpg,train,some planes are in an airport surrounded by some buildings and green trees .
RSICD_47.jpg,train,many planes are in an airport surrounded by many buildings .
RSICD_48.jpg,train,some planes are parked in an airport near some green trees .
RSICD_49.jpg,train,some planes are in an airport .
RSICD_50.jpg,train,several planes are in an airport near some buildings and green trees .
RSICD_51.jpg,train,many planes are in an airport near some green trees .
RSICD_52.jpg,train,many planes are in an airport .
RSICD_54.jpg,train,some planes are in an airport .
RSICD_56.jpg,train,four planes are near several buildings in an airport .
RSICD_58.jpg,train,some planes are in an airport near some buildings .
RSICD_59.jpg,train,some planes are in an airport near some green trees .
RSICD_60.jpg,train,many planes are in an airport near many buildings .
RSICD_62.jpg,train,an airport is near some buildings and green trees .
RSICD_64.jpg,train,some planes are in an airport .
RSICD_66.jpg,train,some planes are in an airport near some green trees .
RSICD_67.jpg,train,five planes are in an airport .
RSICD_68.jpg,train,several planes are parked in an airport surrounded by meadows .
RSICD_69.jpg,train,many planes are in an airport near some buildings and many green trees .
RSICD_70.jpg,train,many planes are in an airport near some buildings and many green trees .
RSICD_71.jpg,train,some planes are in an airport surrounded by green plants .
RSICD_72.jpg,train,some planes are in an airport near some buildings and green trees .
RSICD_73.jpg,train,several planes are in an airport near some bare land.
RSICD_74.jpg,train,several planes are in an airport runway near some buildings and green trees .
RSICD_75.jpg,train,many planes are in an airport surrounded by many buildings .
RSICD_76.jpg,train,an airport is near a parking lot and many green trees .
RSICD_77.jpg,train,two planes are in an airport near several parking lots and many green trees .
RSICD_78.jpg,train,two planes are in an airport near a large parking lot .
RSICD_79.jpg,train,two planes are in an airport near a large parking lot .
RSICD_80.jpg,train,many planes are in a large airport .
RSICD_81.jpg,train,some planes are in an airport near many buildings .
RSICD_82.jpg,train,many planes are in an airport near many buildings .
RSICD_83.jpg,train,many planes are in an airport .
RSICD_84.jpg,train,an empty parking lot is near seven parking lots .
RSICD_85.jpg,train,many buildings and green trees are near an airport runway .
RSICD_86.jpg,train,many green trees are near an airport runway .
RSICD_87.jpg,train,a plane is in an airport near several large parking lots .
RSICD_88.jpg,train,some planes are in an airport near some buildings .
RSICD_89.jpg,train,many planes are orderly in an airport .
RSICD_90.jpg,train,a plane is in an airport near many buildings and farmlands .
RSICD_91.jpg,train,many planes are parked in two sides of a large building in an airport .
RSICD_92.jpg,train,some planes are in an airport near a river .
RSICD_93.jpg,train,some white planes are in an airport .
RSICD_94.jpg,train,many pieces of farmlands are near an airport with several planes .
RSICD_95.jpg,train,many planes are in an airport near some buildings and green trees .
RSICD_96.jpg,train,many planes are in an airport near some buildings .
RSICD_97.jpg,train,many buildings are near an airport with some planes .
RSICD_98.jpg,train,an airport runway extends to a black ocean .
RSICD_99.jpg,train,some planes are in an airport near some buildings and green trees .
RSICD_100.jpg,train,some planes are in an airport near several buildings and a parking lot .
RSICD_101.jpg,train,several planes are in an airport near an ocean .
RSICD_102.jpg,train,an airport is near a large piece of black water .
RSICD_103.jpg,train,many planes are in an airport near many green trees .
RSICD_104.jpg,train,many planes are in an airport .
RSICD_105.jpg,train,many planes are in a large airport .
RSICD_106.jpg,train,several planes are in an airport with buildings .
RSICD_107.jpg,train,many planes are in an airport .
RSICD_108.jpg,train,several aeroplanes are on the parking apron which is located between terminal building and weblike flight paths.
RSICD_109.jpg,train,the strip shaped airport is next to runways and viaducts .
RSICD_110.jpg,train,the runways in which there is a plane is next to an airport like a boomerang .
RSICD_111.jpg,train,"this is a parking apron, many planes, buildings and road ."
RSICD_112.jpg,train,there is an airport in one corner of two crossed roads which has some planes parked near a star like building.
RSICD_113.jpg,train,the runways of the airport has many oval shaped lawns .
RSICD_114.jpg,train,there are many planes building in the square of the airport next to a straight runway
RSICD_115.jpg,train,this is a big airport with some planes .
RSICD_116.jpg,train,many planes are in an airport .
RSICD_117.jpg,train,several airplanes are parked on four tarmacs lying beside airport runways and grassy fields .
RSICD_118.jpg,train,this is a big airport with some planes .
RSICD_119.jpg,train,the airport is surrounded by runways with rectangular lawns .
RSICD_120.jpg,train,some aeroplanes standing on the tarmac near a radial building next to which are airport runways and crossed roads.
RSICD_121.jpg,train,the square main building here is surrounded by several radial buildings with aircrafts near them on a parking apron on the periphery of which are runways and lawns.
RSICD_122.jpg,train,buildings in the airport is dihedral and symmetrical surrounded by several planes standing on the parking apron  beside which are airport flight paths and grassy fields.
RSICD_123.jpg,train,several aeroplanes are on the parking apron which is located between terminal building and weblike flight paths.
RSICD_124.jpg,train,this is a big airport with some planes .
RSICD_125.jpg,train,airport building and airplanes are standing on a white and blue tarmac adjacent to which is airport flight paths decorated with lawns and wasteland.
RSICD_126.jpg,train,"this is a parking apron, roads and many planes ."
RSICD_127.jpg,train,the parking apron next to weblike runways with grassy fields has several planes and a star like building standing on it .
RSICD_128.jpg,train,"this is a parking apron, roads, grassland, buildings and many planes ."
RSICD_129.jpg,train,parking apron has some aircrafts parked on it near the square buildings which is surrounded by airport runways decorated with yellow land.
RSICD_130.jpg,train,some planes are in an airport .
RSICD_131.jpg,train,on the parking apron are two vertically crossed long narrow buildings with airport runways and lawns all around.
RSICD_132.jpg,train,this is a big airport with some planes .
RSICD_133.jpg,train,many planes are in an airport .
RSICD_134.jpg,train,terminal building and tarmac with airplanes are sandwiched by flight paths where several planes are slipping .
RSICD_135.jpg,train,several airplanes are parked on four tarmacs lying beside airport runways and grassy fields .
RSICD_136.jpg,train,there is an airport in one corner of two crossed roads which has some planes parked near a star like building.
RSICD_137.jpg,train,there are airport runways on the grassy field next to which is a catenular terminal building lying on the tarmac  with some planes surrounding it.
RSICD_138.jpg,train,the lobulated terminal building surrounded by aeroplanes is lying on a tarmac adjacent to three square lawns with runways all around .
RSICD_139.jpg,train,many planes are in an airport .
RSICD_140.jpg,train,between two netlike runways with lawns are some orderly arranged square buildings and two square tarmacs with planes .
RSICD_141.jpg,train,there is some buildings and an isosceles trapezoid parking apron with some aeroplanes beside which is fields with brown grass divided by runways.
RSICD_142.jpg,train,there is a square terminal building with many orderly arranged aeroplanes around it on the tarmac outside which is grassy field divided into several pieces by runways.
RSICD_143.jpg,train,the tarmac surrounded by airport runways has a y shaped terminal building with some planes parked orderly .
RSICD_144.jpg,train,many cars are parked near a terminal in an airport .
RSICD_145.jpg,train,many planes are in an airport near some buildings and green trees .
RSICD_146.jpg,train,some planes are near a terminal in an airport .
RSICD_147.jpg,train,many planes are parked next to terminals near runways in an airport .
RSICD_148.jpg,train,many planes are parked in an airport near a parking lot .
RSICD_149.jpg,train,many planes are parked near a terminal in an airport with many runways next to meadows .
RSICD_150.jpg,train,white runways are near a terminal with many planes in an airport .
RSICD_151.jpg,train,several plants are next to a terminal in an airport .
RSICD_152.jpg,train,many planes are parked next to terminal in an airport .
RSICD_153.jpg,train,several planes are in runway while many other planes are next to four terminals in an airport .
RSICD_154.jpg,train,some planes are parked next to two terminals in an airport .
RSICD_155.jpg,train,many planes are near a terminal while a plane is on the runway in an airport .
RSICD_156.jpg,train,many planes are near a large building in an airport .
RSICD_157.jpg,train,some planes are in an airport near some buildings and meadows .
RSICD_158.jpg,train,several planes are scattered near a terminal in an airport .
RSICD_159.jpg,train,several planes are near a terminal in an airport .
RSICD_160.jpg,train,many planes in an airport are near a terminal .
RSICD_161.jpg,train,several planes are near a terminal in an airport .
RSICD_162.jpg,train,many white planes are in an airport near some buildings .
RSICD_163.jpg,train,some planes are scattered in an airport near a parking lot and several buildings .
RSICD_164.jpg,train,many planes are parked near terminals .
RSICD_165.jpg,train,some planes are near a terminal in an airport .
RSICD_166.jpg,train,many planes are parked near runways in an airport .
RSICD_167.jpg,train,several planes are parked near a large building in an airport .
RSICD_168.jpg,train,several plants are parked near a terminal in an airport near a parking lot .
RSICD_169.jpg,train,five planes are parked near a terminal in an airport .
RSICD_170.jpg,train,several planes in different sizes are next to a terminal in an airport .
RSICD_171.jpg,train,two rows of plane in different sizes are in an airport with some green meadows .
RSICD_172.jpg,train,many white planes are near a terminal in an airport .
RSICD_173.jpg,train,a plane is near a terminal in an airport .
RSICD_174.jpg,train,some planes in different sizes are parked in an airport .
RSICD_175.jpg,train,several planes are parked near a terminal in an airport .
RSICD_176.jpg,train,three planes are parked near a building in an airport .
RSICD_177.jpg,train,many planes are around a terminal in an airport .
RSICD_178.jpg,train,several planes are near a terminal in an airport .
RSICD_179.jpg,train,two planes are in an airport near a large parking lot with many cars .
RSICD_180.jpg,train,some planes are parked near a building in an airport .
RSICD_181.jpg,train,several planes are parked in an airport with a large parking lot .
RSICD_182.jpg,train,several planes are near a terminal in an airport .
RSICD_183.jpg,train,an airport with several planes .
RSICD_184.jpg,train,some planes are parked near two terminals in an airport .
RSICD_185.jpg,train,several planes are in an airport with a building .
RSICD_186.jpg,train,several planes are parked near a terminal in an airport .
RSICD_187.jpg,train,several planes are parked in an airport with several buildings .
RSICD_188.jpg,train,some planes are parked near a terminal in an airport .
RSICD_189.jpg,train,a plane is in an airport near several buildings .
RSICD_190.jpg,train,many planes are in two lines in an airport .
RSICD_191.jpg,train,some planes are in an airport near several buildings .
RSICD_192.jpg,train,many planes are parked near two terminals separately in an airport .
RSICD_193.jpg,train,many planes are parked near several terminals in an airport with a parking lot .
RSICD_194.jpg,train,many planes are parked near two terminals in an airport with a parking lot .
RSICD_195.jpg,train,several planes are in an airport with a parking lot .
RSICD_196.jpg,train,several white planes are parked in an airport with several buildings .
RSICD_197.jpg,train,several planes are parked in an airport with a parking lot .
RSICD_198.jpg,train,an airport with several planes .
RSICD_199.jpg,train,several planes are parked near a terminal in an airport .
RSICD_200.jpg,train,an airport with several planes .
RSICD_201.jpg,train,some planes are near several buildings in an airport .
RSICD_202.jpg,train,a plane and some cars are near a terminal in an airport .
RSICD_203.jpg,train,two planes are parked in an airport with two buildings .
RSICD_204.jpg,train,some planes are around a circle building with several parking lots in it .
RSICD_205.jpg,train,many planes are parked near several terminals in an airport .
RSICD_206.jpg,train,many planes are parked around a building with parking lot in an airport .
RSICD_207.jpg,train,some planes are near several buildings with parking lots in an airport .
RSICD_208.jpg,train,some planes are parked in an airport near several buildings respectively .
RSICD_209.jpg,train,some planes are near several buildings with a parking lot in an airport .
RSICD_210.jpg,train,several planes are parked near a terminal in a parking lot .
RSICD_211.jpg,train,some planes are parked near a terminal in an airport near a parking lot .
RSICD_212.jpg,train,some planes are parked near several buildings with a parking lot in an airport .
RSICD_213.jpg,train,some planes are parked near several buildings with parking lots .
RSICD_214.jpg,train,many planes are parked near a building with parking lots in an airport .
RSICD_215.jpg,train,many planes are parked near a building with several parking lots .
RSICD_216.jpg,train,many of the planes were docked on the wide .
RSICD_217.jpg,train,a large number of cars parked near the airport plains .
RSICD_218.jpg,train,many of the planes were docked on the wide .
RSICD_219.jpg,train,a large number of cars parked near the airport plains .
RSICD_220.jpg,train,a large number of cars parked near the airport plains .
RSICD_221.jpg,train,many of the planes were docked on the wide .
RSICD_222.jpg,train,many of the planes were docked on the wide
RSICD_223.jpg,train,many of the planes were docked on the wide .
RSICD_224.jpg,train,some planes are near two terminals in an airport .
RSICD_225.jpg,train,many of the planes were docked on the wide .
RSICD_226.jpg,train,a large number of cars parked near the airport plains .
RSICD_227.jpg,train,a large number of cars parked beside the airport plains .
RSICD_228.jpg,train,many of the planes were docked on the wide .
RSICD_229.jpg,train,many of the planes were docked on the wide .
RSICD_230.jpg,train,many of the planes packed in good order .
RSICD_231.jpg,train,many of the planes were docked on the wide .
RSICD_232.jpg,train,a large number of cars parked near the airport plains .
RSICD_233.jpg,train,next to the airport plains is a large number of cars .
RSICD_234.jpg,train,a large number of cars parked near the airport plains .
RSICD_235.jpg,train,a large number of cars parked next to the airport plains .
RSICD_236.jpg,train,many of the planes were docked on the wide .
RSICD_237.jpg,train,a large number of cars parked near the airport plains .
RSICD_238.jpg,train,many planes are parked near several terminals in an airport with several parking lots .
RSICD_239.jpg,train,a large number of cars parked near the airport plains .
RSICD_240.jpg,train,many of the planes were docked on the wide .
RSICD_241.jpg,train,several planes are in an airport with a building .
RSICD_242.jpg,train,a large number of cars parked near the airport plains .
RSICD_243.jpg,train,a large number of cars parked near the airport plains .
RSICD_244.jpg,train,a large number of cars parked near the airport plains .
RSICD_245.jpg,train,many of the planes were docked on the wide .
RSICD_246.jpg,train,many of the planes were docked on the wide .
RSICD_247.jpg,train,some planes are near several buildings with a parking lot in an airport .
RSICD_248.jpg,train,many of the planes were docked on the wide .
RSICD_249.jpg,train,a large number of cars parked beside the airport plains .
RSICD_250.jpg,train,many of the planes were docked on the wide .
RSICD_251.jpg,train,many of the planes were docked on the wide .
RSICD_252.jpg,train,there are many planes in the airport .
RSICD_254.jpg,train,the vast land is a large airport .
RSICD_255.jpg,train,the airport has a lot of planes .
