source,split,image,caption_1,caption_2,caption_3,caption_4,caption_5
NWPU,test,NWPU_31430.jpg,A gray plane on the runway and the lawn beside .,A grey plane is on the runway by the lawn .,There is an airplane on the runway with a large lawn by the runway .,A plane is parked on the runway next to the grass .,There is a plane on the runway beside the grass .
NWPU,test,NWPU_31431.jpg,Three small planes parked in a line on the airport and a big plane behind them .,"There are four aircraft on the open ground, The largest of which is three times as large as the smallest one .",There are many planes of different sizes in a clearing .,Four planes are parked on the runway .,Four planes of different sizes were on the marked ground .
NWPU,test,NWPU_31432.jpg,A plane parked in a line on the airport with some marks .,A white plane was parked on the instruction line .,An airplane parked in an open area with many containers next to it .,A plane is parked on the open space .,There is 1 plane on the ground marked .
NWPU,test,NWPU_31433.jpg,A small plane and a big plane parked next to boarding bridges .,A white plane and a gray plane parked at the boarding port  The white plane was about four times as large as the gray one .,Two planes of different sizes are neatly parked next to the buildings in the airport .,A large plane and a small plane are parked near the terminal .,Two planes are on the marked ground .
NWPU,test,NWPU_31434.jpg,Two planes parked next to boarding bridges .,Two aircraft were parked at the departure gates .,Two planes of different sizes are neatly parked next to the buildings in the airport .,Two planes are parked next to the terminal .,Two planes are on the marked ground .
NWPU,test,NWPU_31435.jpg,Three planes parked next to boarding bridges of the striped terminal .,Three planes parked on white open space around the building .,Several planes of different sizes are neatly parked beside buildings in the airport .,Many planes are parked around the terminal .,There are three planes on the ground on either side of the building .
NWPU,test,NWPU_31436.jpg,Three planes parked on the open area .,Three planes parked on white open space with rows of cars next to the open space .,"Three planes parked beside buildings inside the airport, Many cars parked next to the plane .",Three planes and many cars are parked on the open space .,There are three planes on the ground .
NWPU,test,NWPU_31437.jpg,A plane parked on the open area and the passing plane behind it .,"Here are two white planes, One of which has a dark blue tail .",There are two planes of different sizes on a clearing .,Two planes are parked on the runway .,Two planes are on the marked ground .
NWPU,test,NWPU_31438.jpg,A plane with the red mark and a white plane parked next to a boarding bridge while some facilities around them .,"Here are two aircraft parked at the boarding port, And the larger one is five times as large as the smaller one .",Two planes of different sizes are neatly parked next to the buildings in the airport .,A large plane and a small plane are parked next to the terminal .,Two planes are on the marked ground .
NWPU,test,NWPU_31439.jpg,A plane parked on the airport while some orange facilities and white cars around them .,"There is a white plane in the open space, Surrounded by two white cars and three orange cars .",An airplane parked in an open area with many containers next to it .,A plane and many cars are parked on the open space .,There is an airplane in the parking lot .
NWPU,test,NWPU_31440.jpg,Four planes parked at three airports .,Three planes parked on white open space .,Several planes of the same size parked neatly next to the buildings inside the airport .,Three planes are parked on the open space next to the bare land .,Three planes are on the marked ground .
NWPU,test,NWPU_31441.jpg,Two planes parked on the airport and the lawn beside .,"Here are two aircraft parked in the open space, And the larger one is twice as large as the smaller one .","There are two planes of the same size on a clearing, With a large lawn next to the clearing .",Two planes are parked on the open space between the runway and the grass .,Two planes are on the marked ground .
NWPU,test,NWPU_31442.jpg,Two adjacent planes parked on the open area with some white and yellow marks .,Two white planes stopped at the yellow line .,There are two planes of the same size in a clearing .,Two planes are parked on the open space .,Two planes are on the marked ground .
NWPU,test,NWPU_31443.jpg,A small plane and a big plane parked next to boarding bridges while some white facilities around them .,"Here are two aircraft parked at the boarding port, .",Two planes of different sizes are neatly parked next to the buildings in the airport .,Two planes are parked next to the terminal .,Two planes are in the parking lot next to the building .
NWPU,test,NWPU_31444.jpg,Three gray planes parked in a line on the airport .,The three airplanes parked on the black line .,There are three gray planes of the same size in a clearing .,Three gray planes are parked on the open space .,Three planes are on the marked ground .
NWPU,test,NWPU_31445.jpg,Some planes of different sizes parked on the open area and another one on the runway .,Two planes are on the runway and four are parked on the ground .,There is a plane on the runway and three planes in the open space next to the runway .,Many gray planes are parked on the bare ground and on the runway .,There are six planes on the ground .
NWPU,test,NWPU_31446.jpg,A plane parked on the airport and a plane with the red mark on the runway .,"The larger aircraft was on the black runway, And the smaller aircraft was parked on the yellow ground .","There is an airplane on the runway, An airplane in the open space next to the runway, And a few lawns next to the runway .",Two planes are parked on the open space .,Two planes are on the marked ground .
NWPU,test,NWPU_31447.jpg,Two blue planes parked on the airport and some lawns beside .,There are two blue-fuselaged planes in the open space in front of the lawn .,"There are two blue fuselage planes in a clearing, With a large lawn next to the clearing .",Two blue and white planes are parked on the open space beside the grass and the runway .,Two planes are in the clearing next to the grass .
NWPU,test,NWPU_31448.jpg,Three planes parked on the airport while a building and some lawns beside .,"There were three white aircraft on the ground, One of which was not on the same line as the other two .","There are many planes of the same size in a clearing, With a building next to the plane .",Three planes are parked on the runway next to the buildings .,Three planes are on the marked ground .
NWPU,test,NWPU_31449.jpg,Three planes parked in a line on the airport and the passing plane in front of them .,"There were four white aircraft on the ground, One of which was not on the same line as the other three .","There are many planes of the same size in a clearing, With large lawns beside the clearing .",Four planes are parked on the runway next to the grass .,Four planes are in the clearing next to the grass .
NWPU,test,NWPU_31450.jpg,Two planes parked on the airport and a clearing in front of them .,There were two white aircraft on the ground .,There are two planes of the same size in a clearing .,Two planes are parked on the open space beside the bare land and grass .,Two planes are on the marked ground .
NWPU,test,NWPU_31451.jpg,Some planes parked in different locations at the airport .,Here are eight planes and four mud lands .,There are many planes of different sizes in a clearing .,Many of the planes are parked on the open space next to the bare land .,There are eight planes on the ground .
NWPU,test,NWPU_31452.jpg,A plane parked on the open area while a building and the lawn with some trees beside .,There were one white aircraft on the ground .,An airplane parked on an open lot with many buildings and lawns next to it .,A plane is parked on the open space next to the buildings and trees .,An airplane is in the parking lot between the buildings and the grass .
NWPU,test,NWPU_31453.jpg,Two face-to-face planes parked on the airport with some yellow marks .,Here are two white planes that are docked in opposite directions .,There are two planes of different sizes on a clearing .,The two planes are parked on the open space .,There are two planes on the ground .
